mr,ref
"name[The Vaults], eatType[pub], priceRange[more than Â£30], customer rating[5 out of 5], near[CafÃ© Adriatic]",The Vaults pub near CafÃ© Adriatic has a 5 star rating.  Prices start at Â£30.
"name[The Cambridge Blue], eatType[pub], food[English], priceRange[cheap], near[CafÃ© Brazil]","Close to CafÃ© Brazil, The Cambridge Blue pub serves delicious Tuscan Beef for the cheap price of Â£10.50. Delicious Pub food."
"name[The Eagle], eatType[coffee shop], food[Japanese], priceRange[less than Â£20], customer rating[low], area[riverside], familyFriendly[yes], near[Burger King]",The Eagle is a low rated coffee shop near Burger King and the riverside that is family friendly and is less than Â£20 for Japanese food.
"name[The Mill], eatType[coffee shop], food[French], priceRange[Â£20-25], area[riverside], near[The Sorrento]","Located near The Sorrento is a French Theme eatery and coffee shop called The Mill, with a price range at Â£20-Â£25 it is in the riverside area."
"name[Loch Fyne], food[French], customer rating[high], area[riverside], near[The Rice Boat]","For luxurious French food, the Loch Fyne is located by the river next to The Rice Boat."
"name[Bibimbap House], food[English], priceRange[moderate], area[riverside], near[Clare Hall]",Bibimbap House is a moderately priced restaurant who's main cuisine is English food. You will find this local gem near Clare Hall in the Riverside area.
"name[The Rice Boat], food[French], customer rating[average], area[riverside], familyFriendly[no]",The Rice Boat is an adult French restaurant with high customer rating  located in the Riverside area.
"name[The Wrestlers], eatType[coffee shop], food[Japanese], priceRange[less than Â£20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Wrestlers coffee shop serves Japanese food.  It is situated near Raja Indian Cuisine at the riverside.  Prices are less than Â£20.  It is not family-friendly.
"name[Aromi], eatType[coffee shop], food[French], customer rating[low], area[city centre], familyFriendly[no]","In the city centre lies Aromi, a French coffee shop for adults with a low customer rating."
"name[The Phoenix], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside]",The Phoenix is a fast food place located in the riverside area. They have moderate pricing and a customer rating of 3 out of 5.
"name[Browns Cambridge], food[Fast food], area[riverside], familyFriendly[no], near[The Sorrento]",In the riverside area near The Sorrento is the Browns Cambridge. It is a Fast food restaurant.
"name[Loch Fyne], eatType[restaurant], food[English], familyFriendly[yes]",A child friendly restaurant that has English food is Loch Fyne.
"name[Taste of Cambridge], eatType[restaurant], priceRange[Â£20-25], customer rating[3 out of 5]",Taste of Cambridge is a restaurant with a customer rating of 3 out of 5 and and a price range of Â£20-Â£25
"name[Cocum], eatType[coffee shop], food[Italian], priceRange[cheap], customer rating[average], familyFriendly[yes]",For a family-Friendly coffee shop Cocum can serve you Italian food at affordable prices.  The customer rating however is only average.
"name[The Dumpling Tree], eatType[restaurant], food[Italian], priceRange[high]",The Dumpling Tree is an Italian restaurant with high prices.
"name[The Punter], food[Indian], priceRange[cheap]",The Punter provides Indian food in the cheap price range.
"name[The Golden Curry], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[CafÃ© Rouge]","The Golden Curry, a 5-star family friendly breakfast joint near the CafÃ© Rouge and near the river."
"name[The Phoenix], food[English], priceRange[high], customer rating[1 out of 5], area[city centre]","The Phoenix is located in the city centre. It offers English food, has a high price range, and a customer rating of one out of five."
"name[Alimentum], food[Fast food], priceRange[Â£20-25], customer rating[high], area[city centre], near[Yippee Noodle Bar]","Yippee Noodle Bar, near the Alimentum city centre is a fast food place with high customer rating, and has a price range of 20-25 euros"
"name[The Eagle], food[Chinese], customer rating[1 out of 5]",The Eagle is a restaurant that offers Chinese food though with a poor rating
"name[The Punter], priceRange[less than Â£20], area[city centre], familyFriendly[yes], near[The Portland Arms]",The Punter is located near The Portland Arms in the city centre. Their prices are less than Â£20 and they are family-friendly.
